locus_tag	ftype	length_bp	gene	EC_number	COG	product
FNPNEKEK_00134	CDS	777	soj	3.6.4.-	COG1192	Sporulation initiation inhibitor protein Soj
FNPNEKEK_00135	CDS	105				hypothetical protein
FNPNEKEK_00136	CDS	1551				hypothetical protein
FNPNEKEK_00137	CDS	147				hypothetical protein
FNPNEKEK_00138	CDS	345				hypothetical protein
FNPNEKEK_00139	CDS	702				IS3 family transposase ISHahy5
FNPNEKEK_00140	CDS	714				hypothetical protein
FNPNEKEK_00141	CDS	483				IS630 family transposase ISDra3
FNPNEKEK_00142	CDS	690			COG3385	IS4 family transposase ISDra7
FNPNEKEK_00143	CDS	177				hypothetical protein
