locus_tag	ftype	length_bp	gene	EC_number	COG	product
KIPFMAPK_00103	CDS	975	yfiZ		COG0609	putative siderophore transport system permease protein YfiZ
KIPFMAPK_00104	CDS	1032	yfhA		COG0609	putative siderophore transport system permease protein YfhA
KIPFMAPK_00105	CDS	810	yusV		COG1120	putative siderophore transport system ATP-binding protein YusV
KIPFMAPK_00106	CDS	321				hypothetical protein
KIPFMAPK_00107	CDS	609				hypothetical protein
KIPFMAPK_00108	CDS	1269	nhaP			Na(+)/H(+) antiporter NhaP
KIPFMAPK_00109	CDS	954				hypothetical protein
KIPFMAPK_00110	CDS	258				hypothetical protein
KIPFMAPK_00111	CDS	864	btuF		COG0614	Vitamin B12-binding protein
KIPFMAPK_00112	CDS	612	btuR	2.5.1.17		Corrinoid adenosyltransferase CobA
KIPFMAPK_00113	CDS	1326	cbiA	6.3.5.11		Cobyrinate a,c-diamide synthase
KIPFMAPK_00114	CDS	897	cobD		COG1270	Cobalamin biosynthesis protein CobD
KIPFMAPK_00115	CDS	1008	hisC	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase
KIPFMAPK_00116	CDS	1440	cobQ		COG1492	Cobyric acid synthase
KIPFMAPK_00117	CDS	381				hypothetical protein
KIPFMAPK_00118	CDS	876	hmuT		COG4558	Hemin-binding periplasmic protein HmuT
KIPFMAPK_00119	CDS	999	hmuU		COG0609	Hemin transport system permease protein HmuU
KIPFMAPK_00120	CDS	786	hmuV	7.6.2.-	COG4559	Hemin import ATP-binding protein HmuV
KIPFMAPK_00121	CDS	741	yqjH	1.16.1.9	COG2375	NADPH-dependent ferric-chelate reductase
KIPFMAPK_00122	CDS	600				hypothetical protein
KIPFMAPK_00123	CDS	2361				hypothetical protein
KIPFMAPK_00124	CDS	264				hypothetical protein
KIPFMAPK_00125	CDS	996	nrdF	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase subunit beta
KIPFMAPK_00126	CDS	2088	nrdE	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase subunit alpha
KIPFMAPK_00127	CDS	426	nrdI			Protein NrdI
KIPFMAPK_00128	CDS	96				hypothetical protein
KIPFMAPK_00129	CDS	483				hypothetical protein
KIPFMAPK_00130	CDS	954	xerC			Tyrosine recombinase XerC
KIPFMAPK_00131	CDS	1092				hypothetical protein
KIPFMAPK_00132	CDS	1494				hypothetical protein
KIPFMAPK_00133	CDS	876	noc_2			Nucleoid occlusion protein
KIPFMAPK_00134	CDS	777	soj	3.6.4.-	COG1192	Sporulation initiation inhibitor protein Soj
KIPFMAPK_00135	CDS	105				hypothetical protein
KIPFMAPK_00136	CDS	1551				hypothetical protein
KIPFMAPK_00137	CDS	147				hypothetical protein
KIPFMAPK_00138	CDS	345				hypothetical protein
KIPFMAPK_00139	CDS	702				IS3 family transposase ISHahy5
KIPFMAPK_00140	CDS	714				hypothetical protein
KIPFMAPK_00141	CDS	483				IS630 family transposase ISDra3
KIPFMAPK_00142	CDS	690			COG3385	IS4 family transposase ISDra7
KIPFMAPK_00143	CDS	177				hypothetical protein
